year,month,date,Season,dataSeason,company,track,volume_origin,volume_desc,volume,origin_round,round
2018,May,May-18,Q2,2018 Q2,HelloCode,STEM,500,500,500,Seed/Angel,Seed/Angel
2015,Jun,Jun-15,Q2,2015 Q2,Hive游学,Study Abroad Services,1911,1911,1911,A,A
2015,Sep,Sep-15,Q3,2015 Q3,Hive游学,Study Abroad Services,4141,4141,4141,B,B
2018,Jun,Jun-18,Q2,2018 Q2,HnR新升力,Early Childhood Edu.,200,200,200,Seed/Angel,Seed/Angel
2014,Mar,Mar-14,Q1,2014 Q1,Huikedu,Higher Edu.,13000,13000,13000,A,A
2015,Nov,Nov-15,Q4,2015 Q4,Huikedu,Higher Edu.,30000,30000,30000,B,B
2016,Oct,Oct-16,Q4,2016 Q4,Huikedu,Higher Edu.,0,0,30000,C,C
2014,Apr,Apr-14,Q2,2014 Q2,Huivo,Early Childhood Edu.,1300,1300,1300,A,A
2015,May,May-15,Q2,2015 Q2,Huivo,Early Childhood Edu.,12000,12000,12000,B,B
2016,Apr,Apr-16,Q2,2016 Q2,Huivo,Early Childhood Edu.,15000,15000,15000,B+,B
2014,Apr,Apr-14,Q2,2014 Q2,Hujiang,Language Learning,52000,52000,52000,C,C
2015,Oct,Oct-15,Q4,2015 Q4,Hujiang,Language Learning,100000,100000,100000,D,D
2018,Jul,Jul-18,Q3,2018 Q3,Hujiang,Language Learning,31900,31900,31900,E,E
2016,Aug,Aug-16,Q3,2016 Q3,Huohua,Enrichment Programs,0,0,6500,A,A
2018,May,May-18,Q2,2018 Q2,Huohua,Enrichment Programs,9750,9750,9750,B,B
2018,Jun,Jun-18,Q2,2018 Q2,Huohua,Enrichment Programs,13000,13000,13000,B+,B
2017,Dec,Dec-17,Q4,2017 Q4,iBanker,Vocational Edu.,200,200,200,Seed/Angel,Seed/Angel
2018,Jul,Jul-18,Q3,2018 Q3,iBanker,Vocational Edu.,1000万人民币,1000,1000,Pre-A,Pre-A
2016,Jun,Jun-16,Q2,2016 Q2,italki,Language Learning,1950,1950,1950,A,A
2017,Jul,Jul-17,Q3,2017 Q3,itcast,Vocational Edu.,24700,24700,24700,新三板,NEEQ Fund-raising
2014,Feb,Feb-14,Q1,2014 Q1,iTutorGroup,Language Learning,65000,65000,65000,B,B
2015,Nov,Nov-15,Q4,2015 Q4,iTutorGroup,Language Learning,127400,127400,127400,C,C
2016,Jan,Jan-16,Q1,2016 Q1,Jerry School,K12,26000,26000,26000,Pre-A,Pre-A
2018,Jul,Jul-18,Q3,2018 Q3,Jerry School,K12,13000,13000,13000,A,A
2018,May,May-18,Q2,2018 Q2,JORNCO匠客,STEM,500,500,500,Pre-A,Pre-A
2015,Jan,Jan-15,Q1,2015 Q1,Juesheng,Others,0,0,6800,B,B
2015,Nov,Nov-15,Q4,2015 Q4,Juesheng,Others,20000,20000,20000,C,C
2016,Apr,Apr-16,Q2,2016 Q2,KaDa故事,Early Childhood Edu.,千万级人民币,1000,1000,Pre-A,Pre-A
2017,Sep,Sep-17,Q3,2017 Q3,KaDa故事,Early Childhood Edu.,未披露,0,0,A,A
2018,Oct,Oct-18,Q4,2018 Q4,KaDa故事,Early Childhood Edu.,近亿人民币,8000,8000,A+,A
2014,Nov,Nov-14,Q4,2014 Q4,Kaishu Story,Early Childhood Edu.,800,800,800,Pre-A,Pre-A
2015,Nov,Nov-15,Q4,2015 Q4,Kaishu Story,Early Childhood Edu.,7200,7200,7200,A,A
2017,May,May-17,Q2,2017 Q2,Kaishu Story,Early Childhood Edu.,9000,9000,9000,B,B
2018,Mar,Mar-18,Q1,2018 Q1,Kaishu Story,Early Childhood Edu.,15600,15600,15600,B+,B
2016,Nov,Nov-16,Q4,2016 Q4,KC童趣,Paid Knowledge,770,770,770,Seed/Angel,Seed/Angel
2016,Jun,Jun-16,Q2,2016 Q2,KeeKo,Early Childhood Edu.,2000,2000,2000,Pre-A,Pre-A
2014,Dec,Dec-14,Q4,2014 Q4,Knowbox,K12,637,637,637,Seed/Angel,Seed/Angel
2015,Apr,Apr-15,Q2,2015 Q2,Knowbox,K12,6370,6370,6370,A,A
2016,Oct,Oct-16,Q4,2016 Q4,Knowbox,K12,7000,7000,7000,B,B
2017,Oct,Oct-17,Q4,2017 Q4,Knowbox,K12,20000,20000,20000,B+,B
2018,Apr,Apr-18,Q2,2018 Q2,Knowbox,K12,65000,65000,65000,C,C
2016,Feb,Feb-16,Q1,2016 Q1,Koolearn,Language Learning,32000,32000,32000,Pre-IPO,Pre-IPO
2015,Mar,Mar-15,Q1,2015 Q1,Liulishuo,Language Learning,13000,13000,13000,B,B
2017,Jul,Jul-17,Q3,2017 Q3,Liulishuo,Language Learning,54400,54400,54400,C,C
2014,Aug,Aug-14,Q3,2014 Q3,LTG,Language Learning,1950,1950,1950,A,A
2012,Mar,Mar-12,Q1,2012 Q1,makeblock,STEM,数十万美元,520,520,Seed/Angel,Seed/Angel
2013,Jul,Jul-13,Q3,2013 Q3,makeblock,STEM,数百万人民币,200,200,Pre-A,Pre-A
2015,Apr,Apr-15,Q2,2015 Q2,makeblock,STEM,600万美元,3900,3900,A,A
2017,Mar,Mar-17,Q1,2017 Q1,makeblock,STEM,2亿人民币,20000,20000,B,B
2018,Aug,Aug-18,Q3,2018 Q3,makeblock,STEM,3亿人民币,30000,30000,C,C
2016,Feb,Feb-16,Q1,2016 Q1,Master 达人,Enrichment Programs,900,900,900,Pre-A,Pre-A
2015,Jun,Jun-15,Q2,2015 Q2,Mingshi EDU,K12,20000,20000,20000,B,B
2017,Jul,Jul-17,Q3,2017 Q3,Mingshi EDU,K12,6900,6900,6900,Undiscloused,Undiscloused
2014,Apr,Apr-14,Q2,2014 Q2,Mofangge,K12,0,0,6500,A,A
2016,Jan,Jan-16,Q1,2016 Q1,Mofangge,K12,2000,2000,2000,B,B
2016,Nov,Nov-16,Q4,2016 Q4,Mofangge,K12,14800,14800,14800,B+,B
2018,Mar,Mar-18,Q1,2018 Q1,Mofangge,K12,0,0,2000,C,C
2016,Sep,Sep-16,Q3,2016 Q3,myOffer,Study Abroad Services,2000,2000,2000,A,A
2017,Nov,Nov-17,Q4,2017 Q4,myOffer,Study Abroad Services,2000,2000,2000,A+,A
2015,Aug,Aug-15,Q3,2015 Q3,MySIMAX,Others,127,127,127,Strategic Investment,Strategic Investment
2015,Sep,Sep-15,Q3,2015 Q3,NeoBear,Early Childhood Edu.,12000,12000,12000,A,A
2016,Oct,Oct-16,Q4,2016 Q4,NeoBear,Early Childhood Edu.,25000,25000,25000,B,B
2016,Sep,Sep-16,Q3,2016 Q3,NOBOOK,K12,1500,1500,1500,A,A
2017,Aug,Aug-17,Q3,2017 Q3,offer先生/先胜科技,Vocational Edu.,200,200,200,Seed/Angel,Seed/Angel
2016,Jan,Jan-16,Q1,2016 Q1,OneSmart International Education Group,K12,50000,50000,50000,Pre-IPO,Pre-IPO
2014,Feb,Feb-14,Q1,2014 Q1,Onion Math,K12,0,0,800,Seed/Angel,Seed/Angel
2015,Oct,Oct-15,Q4,2015 Q4,Onion Math,K12,2925,2925,2925,A+,A
2016,Jun,Jun-16,Q2,2016 Q2,Onion Math,K12,1950,1950,1950,A,A
2017,May,May-17,Q2,2017 Q2,Onion Math,K12,9700,9700,9700,B,B
2018,Feb,Feb-18,Q1,2018 Q1,Onion Math,K12,12000,12000,12000,C,C
2018,Oct,Oct-18,Q4,2018 Q4,Pipacode,STEM,1000万人民币,1000,1000,Seed/Angel,Seed/Angel
2014,Dec,Dec-14,Q4,2014 Q4,QLL快速语言学习,Language Learning,292.5,292.5,292.5,A,A
